		
		
		
		
		
0	40000	-40000
20000	23400	3400
		
		
		
		
		
0	65600	-65600
0	57600	-57600
		
		
		
		
		
72000	131000	59000
0	60200	-60200
		
		
		
		
		
0	59200	-59200
29000	59200	30200
		
		
		
		
		
0	29400	-29400
72000	135800	63800
		
		
		
		
		
18000	87000	69000
10000	23400	13400
		
		
		
		
		
0	37200	-37200
38000	46000	8000
		
		
		
		
		
0	26800	-26800
0	65000	-65000
		
		
		
		
		
48000	248000	200000
0	56600	-56600
		
		
		
		
		
5000	27800	22800
0	16000	-16000
		
		
		
		
		
0	30600	-30600
0	17000	-17000
		
		
		
		
		
77000	117000	40000
15000	20000	5000
		
		
		
		
		
75000	76600	1600
77000	79000	2000
		
		
		
		
		
0	40000	-40000
0	37600	-37600
		
		
		
		
		
54000	61400	7400
79000	141200	62200
		
		
		
		
		
80000	116400	36400
0	26200	-26200
		
		
		
		
		
55000	77800	22800
0	36200	-36200
		
		
		
		
		
78000	278000	200000
2000	21200	19200
		
		
		
		
		
60000	66000	6000
21000	80200	59200
		
		
		
		
		
0	29400	-29400
22000	102000	80000
		
		
		
		
		
0	200	-200
22000	75800	53800
		
		
		
		
		
0	40000	-40000
0	22200	-22200
		
		
		
		
		
0	27600	-27600
0	7600	-7600
		
		
		
		
		
0	4400	-4400
0	13400	-13400
		
		
		
		
		
0	40000	-40000
79000	120800	41800
		
		
		
		
		
0	3600	-3600
0	59000	-59000
		
		
		
		
		
8000	208000	200000
0	5000	-5000
		
		
		
		
		
0	22600	-22600
0	39200	-39200
		
		
		
		
		
0	1000	-1000
0	10000	-10000
		
		
		
		
		
0	8200	-8200
0	60400	-60400
		
		
		
		
		
0	37600	-37600
0	37600	-37600
		
		
		
		
		
73000	125400	52400
0	18600	-18600
		
		
		
		
		
0	11400	-11400
0	43600	-43600
		
		
		
		
		
0	5000	-5000
2000	8800	6800
		
		
		
		
		
0	40000	-40000
25000	48200	23200
		
		
		
		
		
0	1400	-1400
0	2000	-2000
		
		
		
		
		
12000	72200	60200
67000	88200	21200
		
		
		
		
		
51000	56600	5600
44000	99600	55600
		
		
		
		
		
28000	28600	600
0	14800	-14800
		
		
		
		
		
0	24600	-24600
0	8600	-8600
		
		
		
		
		
25000	40800	15800
66000	93000	27000
		
		
		
		
		
0	45800	-45800
0	10200	-10200
		
		
		
		
		
0	40000	-40000
0	2000	-2000
		
		
		
		
		
59000	74200	15200
22000	76800	54800
		
		
		
		
		
0	14400	-14400
14000	214000	200000
		
		
		
		
		
0	41200	-41200
0	43400	-43400
		
		
		
		
		
0	19000	-19000
54000	125800	71800
		
		
		
		
		
0	18800	-18800
0	7200	-7200
		
		
		
		
		
0	17200	-17200
3000	50800	47800
		
		
		
		
		
0	7400	-7400
30000	110000	80000
		
		
		
		
		
75000	105200	30200
0	4600	-4600
		
		
		
		
		
4000	27400	23400
73000	100600	27600
		
